Type: PE
Buffering...
Parsing executable...
$ Libraries Count: 1
Functions Count: 331
11b8 : ntdll.dll.NtWriteFile
11bc : ntdll.dll.RtlEqualString
11c0 : ntdll.dll.RtlUpcaseUnicodeChar
11c4 : ntdll.dll.RtlUpcaseUnicodeString
11c8 : ntdll.dll.CsrAllocateMessagePointer
11cc : ntdll.dll.wcscmp
11d0 : ntdll.dll.NtQueryDirectoryObject
11d4 : ntdll.dll.NtQuerySymbolicLinkObject
11d8 : ntdll.dll.NtOpenSymbolicLinkObject
11dc : ntdll.dll.NtOpenDirectoryObject
11e0 : ntdll.dll.NtSetInformationProcess
11e4 : ntdll.dll.NtCreateIoCompletion
11e8 : ntdll.dll.NtSetIoCompletion
11ec : ntdll.dll.NtRemoveIoCompletion
11f0 : ntdll.dll.RtlInitializeCriticalSection
11f4 : ntdll.dll.NtQueryDirectoryFile
11f8 : ntdll.dll.RtlDeleteCriticalSection
11fc : ntdll.dll.RtlCompareMemory
1200 : ntdll.dll.NtNotifyChangeDirectoryFile
1204 : ntdll.dll.NtWaitForSingleObject
1208 : ntdll.dll.NtQueryVolumeInformationFile
120c : ntdll.dll.NtFlushBuffersFile
1210 : ntdll.dll.NtCancelIoFile
1214 : ntdll.dll.NtReadFileScatter
1218 : ntdll.dll.NtWriteFileGather
121c : ntdll.dll.NtCreateSection
1220 : ntdll.dll.NtOpenSection
1224 : ntdll.dll.NtMapViewOfSection
1228 : ntdll.dll.NtFlushVirtualMemory
122c : ntdll.dll.NtUnmapViewOfSection
1230 : ntdll.dll.NtQueryAttributesFile
1234 : ntdll.dll.NtQueryFullAttributesFile
1238 : ntdll.dll.RtlUnicodeStringToOemString
123c : ntdll.dll.RtlDetermineDosPathNameType_U
1240 : ntdll.dll.swprintf
1244 : ntdll.dll.RtlUnlockHeap
1248 : ntdll.dll.RtlSetUserValueHeap
124c : ntdll.dll.RtlFreeHandle
1250 : ntdll.dll.RtlAllocateHandle
1254 : ntdll.dll.RtlLockHeap
1258 : ntdll.dll.RtlSizeHeap
125c : ntdll.dll.RtlGetUserInfoHeap
1260 : ntdll.dll.RtlReAllocateHeap
1264 : ntdll.dll.RtlIsValidHandle
1268 : ntdll.dll.RtlCompactHeap
126c : ntdll.dll.RtlImageNtHeader
1270 : ntdll.dll.NtProtectVirtualMemory
1274 : ntdll.dll.NtQueryVirtualMemory
1278 : ntdll.dll.NtLockVirtualMemory
127c : ntdll.dll.NtUnlockVirtualMemory
1280 : ntdll.dll.NtFlushInstructionCache
1284 : ntdll.dll.NtAllocateUserPhysicalPages
1288 : ntdll.dll.NtFreeUserPhysicalPages
128c : ntdll.dll.NtMapUserPhysicalPages
1290 : ntdll.dll.NtMapUserPhysicalPagesScatter
1294 : ntdll.dll.NtGetWriteWatch
1298 : ntdll.dll.RtlFreeHeap
129c : ntdll.dll.NtDuplicateObject
12a0 : ntdll.dll.NtQueryObject
12a4 : ntdll.dll.NtSetInformationObject
12a8 : ntdll.dll.RtlOemStringToUnicodeString
12ac : ntdll.dll.RtlDoesFileExists_U
12b0 : ntdll.dll.CsrNewThread
12b4 : ntdll.dll.CsrClientConnectToServer
12b8 : ntdll.dll.wcscpy
12bc : ntdll.dll.RtlCreateTagHeap
12c0 : ntdll.dll.RtlSetThreadPoolStartFunc
12c4 : ntdll.dll._stricmp
12c8 : ntdll.dll._wcsicmp
12cc : ntdll.dll.wcscat
12d0 : ntdll.dll.RtlInitializeHandleTable
12d4 : ntdll.dll.RtlCreateHeap
12d8 : ntdll.dll.RtlDestroyHeap
12dc : ntdll.dll.RtlExtendHeap
12e0 : ntdll.dll.RtlQueryTagHeap
12e4 : ntdll.dll.RtlUsageHeap
12e8 : ntdll.dll.RtlValidateHeap
12ec : ntdll.dll.RtlGetProcessHeaps
12f0 : ntdll.dll.RtlWalkHeap
12f4 : ntdll.dll.NtCreateMailslotFile
12f8 : ntdll.dll.RtlExtendedLargeIntegerDivide
12fc : ntdll.dll.RtlFormatMessage
1300 : ntdll.dll.RtlFindMessage
1304 : ntdll.dll._strcmpi
1308 : ntdll.dll.LdrLoadAlternateResourceModule
130c : ntdll.dll.LdrLoadDll
1310 : ntdll.dll.LdrGetDllHandle
1314 : ntdll.dll.LdrUnloadDll
1318 : ntdll.dll.LdrUnloadAlternateResourceModule
131c : ntdll.dll.LdrDisableThreadCalloutsForDll
1320 : ntdll.dll.LdrGetProcedureAddress
1324 : ntdll.dll.RtlInitString
1328 : ntdll.dll.RtlGetVersion
132c : ntdll.dll.RtlVerifyVersionInfo
1330 : ntdll.dll.LdrFindResource_U
1334 : ntdll.dll.LdrAccessResource
1338 : ntdll.dll.LdrFindResourceDirectory_U
133c : ntdll.dll.RtlImageDirectoryEntryToData
1340 : ntdll.dll.RtlUnicodeStringToInteger
1344 : ntdll.dll.NtCreateNamedPipeFile
1348 : ntdll.dll.RtlDefaultNpAcl
134c : ntdll.dll.NtSetInformationThread
1350 : ntdll.dll.NtOpenThreadToken
1354 : ntdll.dll.RtlQueryEnvironmentVariable_U
1358 : ntdll.dll.RtlAnsiCharToUnicodeChar
135c : ntdll.dll.RtlIntegerToChar
1360 : ntdll.dll.NtSetVolumeInformationFile
1364 : ntdll.dll.NtQueryPerformanceCounter
1368 : ntdll.dll.sprintf
136c : ntdll.dll.NtPowerInformation
1370 : ntdll.dll.NtInitiatePowerAction
1374 : ntdll.dll.NtSetThreadExecutionState
1378 : ntdll.dll.NtRequestWakeupLatency
137c : ntdll.dll.NtGetDevicePowerState
1380 : ntdll.dll.NtIsSystemResumeAutomatic
1384 : ntdll.dll.NtRequestDeviceWakeup
1388 : ntdll.dll.NtCancelDeviceWakeupRequest
138c : ntdll.dll.RtlQueryRegistryValues
1390 : ntdll.dll.RtlxAnsiStringToUnicodeSize
1394 : ntdll.dll.NtWriteVirtualMemory
1398 : ntdll.dll.NtResumeThread
139c : ntdll.dll.NtTerminateProcess
13a0 : ntdll.dll.NtCreateThread
13a4 : ntdll.dll.NtReadVirtualMemory
13a8 : ntdll.dll.NtCreateProcess
13ac : ntdll.dll.LdrQueryImageFileExecutionOptions
13b0 : ntdll.dll.NtQuerySection
13b4 : ntdll.dll.RtlDestroyEnvironment
13b8 : ntdll.dll.NtQueryInformationJobObject
13bc : ntdll.dll.NtOpenProcess
13c0 : ntdll.dll.LdrShutdownProcess
13c4 : ntdll.dll.RtlRaiseStatus
13c8 : ntdll.dll.RtlUnicodeToOemN
13cc : ntdll.dll.RtlSetEnvironmentVariable
13d0 : ntdll.dll.RtlExpandEnvironmentStrings_U
13d4 : ntdll.dll.RtlCompareUnicodeString
13d8 : ntdll.dll.NtTerminateThread
13dc : ntdll.dll.RtlDestroyProcessParameters
13e0 : ntdll.dll.RtlCreateProcessParameters
13e4 : ntdll.dll.RtlxOemStringToUnicodeSize
13e8 : ntdll.dll.NlsMbOemCodePageTag
13ec : ntdll.dll.RtlxUnicodeStringToOemSize
13f0 : ntdll.dll.NtAdjustPrivilegesToken
13f4 : ntdll.dll.NtOpenProcessToken
13f8 : ntdll.dll.RtlInitializeCriticalSectionAndSpinCount
13fc : ntdll.dll.NtCreateEvent
1400 : ntdll.dll.NtOpenEvent
1404 : ntdll.dll.NtSetEvent
1408 : ntdll.dll.NtClearEvent
140c : ntdll.dll.NtPulseEvent
1410 : ntdll.dll.NtCreateSemaphore
1414 : ntdll.dll.NtOpenSemaphore
1418 : ntdll.dll.NtReleaseSemaphore
141c : ntdll.dll.NtCreateMutant
1420 : ntdll.dll.NtOpenMutant
1424 : ntdll.dll.NtReleaseMutant
1428 : ntdll.dll.NtSignalAndWaitForSingleObject
142c : ntdll.dll.NtWaitForMultipleObjects
1430 : ntdll.dll.NtDelayExecution
1434 : ntdll.dll.NtCreateTimer
1438 : ntdll.dll.NtOpenTimer
143c : ntdll.dll.NtSetTimer
1440 : ntdll.dll.NtCancelTimer
1444 : ntdll.dll.RtlCopyLuid
1448 : ntdll.dll.NtQueryInformationToken
144c : ntdll.dll.wcsrchr
1450 : ntdll.dll.strchr
1454 : ntdll.dll.strrchr
1458 : ntdll.dll.LdrShutdownThread
145c : ntdll.dll.NtGetContextThread
1460 : ntdll.dll.NtSetContextThread
1464 : ntdll.dll.NtSuspendThread
1468 : ntdll.dll.RtlRaiseException
146c : ntdll.dll.CsrIdentifyAlertableThread
1470 : ntdll.dll.RtlClearBits
1474 : ntdll.dll.RtlFindClearBitsAndSet
1478 : ntdll.dll.RtlAreBitsSet
147c : ntdll.dll.NtQueueApcThread
1480 : ntdll.dll.NtYieldExecution
1484 : ntdll.dll.RtlRegisterWait
1488 : ntdll.dll.RtlDeregisterWait
148c : ntdll.dll.RtlDeregisterWaitEx
1490 : ntdll.dll.RtlQueueWorkItem
1494 : ntdll.dll.RtlSetIoCompletionCallback
1498 : ntdll.dll.RtlCreateTimerQueue
149c : ntdll.dll.RtlCreateTimer
14a0 : ntdll.dll.RtlUpdateTimer
14a4 : ntdll.dll.RtlDeleteTimer
14a8 : ntdll.dll.RtlDeleteTimerQueueEx
14ac : ntdll.dll.RtlDestroyQueryDebugBuffer
14b0 : ntdll.dll.RtlQueryProcessDebugInformation
14b4 : ntdll.dll.RtlCreateQueryDebugBuffer
14b8 : ntdll.dll.RtlFreeOemString
14bc : ntdll.dll.strstr
14c0 : ntdll.dll.NtQueryEvent
14c4 : ntdll.dll.RtlCreateEnvironment
14c8 : ntdll.dll.toupper
14cc : ntdll.dll.wcsncmp
14d0 : ntdll.dll.isdigit
14d4 : ntdll.dll.atol
14d8 : ntdll.dll.tolower
14dc : ntdll.dll.NtCreateJobObject
14e0 : ntdll.dll.NtOpenJobObject
14e4 : ntdll.dll.NtAssignProcessToJobObject
14e8 : ntdll.dll.NtTerminateJobObject
14ec : ntdll.dll.NtSetInformationJobObject
14f0 : ntdll.dll.CsrCaptureMessageBuffer
14f4 : ntdll.dll.NtQueryInstallUILanguage
14f8 : ntdll.dll.NtQueryDefaultUILanguage
14fc : ntdll.dll.wcspbrk
1500 : ntdll.dll._chkstk
1504 : ntdll.dll.RtlIntegerToUnicodeString
1508 : ntdll.dll.NtCreateDirectoryObject
150c : ntdll.dll.RtlOpenCurrentUser
1510 : ntdll.dll.RtlSubAuthoritySid
1514 : ntdll.dll.RtlInitializeSid
1518 : ntdll.dll.RtlLengthRequiredSid
151c : ntdll.dll.RtlGetDaclSecurityDescriptor
1520 : ntdll.dll.NtQueryDefaultLocale
1524 : ntdll.dll._strlwr
1528 : ntdll.dll.RtlUnwind
$ Bye!
